description;volume;page;plate;polygon;areacolor;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
;;;;218,67,255,125;2;;180;156.68;348;29.59;26.09;17.16
;;;;339,67,376,125;2;;180;327.32;348;29.59;26.09;17.16
;;;;218,126,257,155;2;;180;158.09;348;55.92;27.5;8.58
;;;;337,126,376,155;2;;180;325.91;348;55.92;27.5;8.58
;;;;218,156,257,184;2;;180;158.09;348;73.37;27.5;8.28
;;;;337,156,376,184;2;;180;325.91;348;73.37;27.5;8.28
;;;;218,185,274,214;2;;180;170.08;348;90.83;39.49;8.58
;;;;320,185,376,214;2;;180;313.92;348;90.83;39.49;8.58
;;;;69,215,124,270;2;;90;132;359.52;28.78;11.52;15.99
;;;;126,215,153,253;2;;90;132;355.96;53.78;7.96;7.85
;;;;155,215,184,253;2;;90;132;355.96;71.22;7.96;8.43
;;;;186,215,213,253;2;;90;132;355.96;88.66;7.96;7.85
;;;;380,215,407,245;2;;270;352;354.29;89.18;6.29;7.89
;;;;409,215,438,245;2;;270;352;354.29;71.64;6.29;8.48
;;;;440,215,467,245;2;;270;352;354.29;54.09;6.29;7.89
;;;;469,215,497,245;2;;270;352;354.29;36.84;6.29;8.19
;;;;499,215,524,245;2;;270;352;354.29;20.18;6.29;7.31
;;;;380,246,407,275;2;;270;352;367.07;89.18;6.08;7.89
;;;;409,246,438,275;2;;270;352;367.07;71.64;6.08;8.48
;;;;440,246,467,275;2;;270;352;367.07;54.09;6.08;7.89
;;;;469,246,497,275;2;;270;352;367.07;36.84;6.08;8.19
;;;;499,246,524,267;2;;270;352;365.39;20.18;4.4;7.31
;;;;126,254,153,284;2;;90;132;370.63;53.78;6.29;7.85
;;;;155,254,184,284;2;;90;132;370.63;71.22;6.29;8.43
;;;;186,254,213,284;2;;90;132;370.63;88.66;6.29;7.85
;;;;69,271,124,319;2;;90;132;381.53;28.78;10.06;15.99
;;;;380,276,407,393;2;;270;352;398.08;89.18;24.52;7.89
;;;;409,276,438,393;2;;270;352;398.08;71.64;24.52;8.48
;;;;440,276,467,393;2;;270;352;398.08;54.09;24.52;7.89
;;;;469,276,524,311;2;;270;352;380.9;28.95;7.33;16.08
;;;;126,285,153,382;2;;90;132;397.66;53.78;20.33;7.85
;;;;155,285,184,382;2;;90;132;397.66;71.22;20.33;8.43
;;;;186,285,213,382;2;;90;132;397.66;88.66;20.33;7.85
;;;;69,320,124,406;2;;90;132;410.02;28.78;18.02;15.99
;;;;469,354,524,455;2;;270;352;427.42;28.95;21.16;16.08
;;;;126,383,153,413;2;;90;132;424.69;53.78;6.29;7.85
;;;;155,383,184,413;2;;90;132;424.69;71.22;6.29;8.43
;;;;186,383,213,413;2;;90;132;424.69;88.66;6.29;7.85
;;;;380,394,407,423;2;;270;352;429.09;89.18;6.08;7.89
;;;;409,394,438,423;2;;270;352;429.09;71.64;6.08;8.48
;;;;440,394,467,423;2;;270;352;429.09;54.09;6.08;7.89
;;;;99,407,124,454;2;;90;132;438.31;37.5;9.85;7.27
;;;;126,414,153,454;2;;90;132;439.78;53.78;8.38;7.85
;;;;155,414,184,454;2;;90;132;439.78;71.22;8.38;8.43
;;;;186,414,213,454;2;;90;132;439.78;88.66;8.38;7.85
;;;;380,424,407,455;2;;270;352;442.09;89.18;6.5;7.89
;;;;409,424,438,455;2;;270;352;442.09;71.64;6.5;8.48
;;;;440,424,467,455;2;;270;352;442.09;54.09;6.5;7.89
;;;;69,438,97,454;2;;90;132;444.81;20.93;3.35;8.14
;;;;218,48,254,62;0;;180;155.97;348;5.33;25.38;4.14
;;;;340,48,376,62;0;;180;328.03;348;5.33;25.38;4.14
;;;;218,63,255,66;0;;180;156.68;348;10.95;26.09;0.89
;;;;339,63,376,66;0;;180;327.32;348;10.95;26.09;0.89
;;;;49,215,63,406;0;;90;132;388.02;5.23;40.02;4.07
;;;;65,215,67,406;0;;90;132;388.02;11.05;40.02;0.58
;;;;526,215,528,245;0;;270;352;354.29;11.11;6.29;0.58
;;;;530,215,544,245;0;;270;352;354.29;5.26;6.29;4.09
;;;;215,216,217,454;0;;90;132;398.29;98.26;49.87;0.58
;;;;376,216,378,455;0;;270;352;398.5;98.83;50.08;0.58
;;;;526,246,528,267;0;;270;352;365.39;11.11;4.4;0.58
;;;;530,246,544,267;0;;270;352;365.39;5.26;4.4;4.09
;;;;499,268,544,271;0;;270;352;370.84;14.33;0.63;13.16
;;;;499,272,544,275;0;;270;352;372.52;14.33;0.63;13.16
;;;;526,276,528,311;0;;270;352;380.9;11.11;7.33;0.58
;;;;530,276,544,311;0;;270;352;380.9;5.26;7.33;4.09
;;;;489,311,492,354;0;;270;352;397.24;32.46;9.01;0.88
;;;;469,312,487,353;0;;270;352;397.24;39.77;8.59;5.26
;;;;494,312,496,353;0;;270;352;397.24;29.82;8.59;0.58
;;;;498,312,500,353;0;;270;352;397.24;27.49;8.59;0.58
;;;;502,312,505,353;0;;270;352;397.24;24.85;8.59;0.88
;;;;507,312,524,323;0;;270;352;390.96;17.84;2.3;4.97
;;;;526,312,528,323;0;;270;352;390.96;11.11;2.3;0.58
;;;;530,312,544,323;0;;270;352;390.96;5.26;2.3;4.09
;;;;507,342,524,353;0;;270;352;403.53;17.84;2.3;4.97
;;;;526,342,528,353;0;;270;352;403.53;11.11;2.3;0.58
;;;;530,342,544,353;0;;270;352;403.53;5.26;2.3;4.09
;;;;526,354,528,455;0;;270;352;427.42;11.11;21.16;0.58
;;;;530,354,544,455;0;;270;352;427.42;5.26;21.16;4.09
;;;;49,407,56,430;0;;90;132;433.28;3.2;4.82;2.03
;;;;58,407,64,430;0;;90;132;433.28;8.14;4.82;1.74
;;;;66,407,72,430;0;;90;132;433.28;12.79;4.82;1.74
;;;;74,407,80,430;0;;90;132;433.28;17.44;4.82;1.74
;;;;82,407,89,430;0;;90;132;433.28;22.38;4.82;2.03
;;;;91,407,97,437;0;;90;132;434.75;27.33;6.29;1.74
;;;;49,434,67,437;0;;90;132;440.41;6.4;0.63;5.23
;;;;69,434,97,437;0;;90;132;440.41;20.93;0.63;8.14
;;;;49,438,63,454;0;;90;132;444.81;5.23;3.35;4.07
;;;;65,438,67,454;0;;90;132;444.81;11.05;3.35;0.58
